Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        9000.0787    8996.9444       3.1343   898.1
0.0010        8974.2178    8971.0835       3.1343   898.1
0.0020        8682.0807    8678.9464       3.1343   898.1
0.0030        8773.5132    8770.3789       3.1343   898.1
0.0040        8707.9863    8704.8519       3.1344   898.1
0.0050        8853.1721    8850.0376       3.1345   898.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      100431.2581  100428.2315       3.0266   867.2
0.0010      100681.3524  100678.3258       3.0266   867.2
0.0020      101243.7565  101240.7299       3.0265   867.2
0.0030      100718.2623  100715.2358       3.0265   867.2
0.0040      101210.7250  101207.6984       3.0266   867.2
0.0050      100334.6962  100331.6693       3.0269   867.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       99876.0261   99873.0845       2.9416   842.9
0.0010       98091.0849   98088.1431       2.9418   842.9
0.0020       98821.0684   98818.1265       2.9419   842.9
0.0030       98840.1667   98837.2249       2.9418   842.9
0.0040       97525.4591   97522.5173       2.9418   842.9
0.0050       96881.3996   96878.4581       2.9415   842.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000     10004218.6513 10004215.6847       2.9666   850.0
0.0010     10086613.8338 10086610.8683       2.9655   849.7
0.0020     10032421.6087 10032418.6434       2.9653   849.7
0.0030     9815803.7485 9815800.7430       3.0055   861.2
0.0040     10123468.1380 10123465.0260       3.1120   891.7
0.0050     10151180.8223 10151177.5972       3.2251   924.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000     97373469.8455 97373466.8885       2.9570   847.3
0.0010     98258640.5259 98258635.4515       5.0744  1454.0
0.0020     98949357.1731 98949343.4768      13.6963  3924.4
0.0030     98785918.7498 98785903.8318      14.9180  4274.5
0.0040     96851879.7903 96851864.0343      15.7560  4514.6
0.0050     98670621.5636 98670605.5400      16.0236  4591.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000     9883049.7480 9883046.7579       2.9901   856.8
0.0010     9770695.5533 9770692.5722       2.9811   854.2
0.0020     9725709.6334 9725706.6569       2.9764   852.8
0.0030     9895885.0611 9895882.0838       2.9773   853.1
0.0040     9541974.2782 9541971.3090       2.9692   850.8
0.0050     9719629.8059 9719626.8078       2.9981   859.0
0.0060     9738432.8664 9738429.8699       2.9965   858.6
0.0070     9936317.0124 9936314.0151       2.9973   858.8
0.0080     9823893.8423 9823890.8387       3.0037   860.6
0.0090     9643605.4623 9643602.4450       3.0173   864.6
0.0100     9890996.5320 9890993.4486       3.0835   883.5
0.0110     9922366.1337 9922362.9544       3.1793   911.0
0.0120     9977061.9032 9977058.6755       3.2277   924.8
0.0130     9925653.6016 9925650.3392       3.2624   934.8
0.0140     10011323.9641 10011320.6780       3.2861   941.6
0.0150     9792724.0601 9792720.7689       3.2912   943.0
0.0160     9580925.8286 9580922.4923       3.3363   956.0
0.0170     9619022.0174 9619018.0195       3.9979  1145.5
0.0180     9914908.2790 9914903.1500       5.1290  1469.6
0.0190     9872378.0941 9872372.8726       5.2214  1496.1
0.0200     9641155.7239 9641150.3837       5.3402  1530.1
0.0210     9821997.8427 9821992.3949       5.4478  1561.0
0.0220     9866208.3108 9866202.9109       5.3999  1547.2
0.0230     9923437.1494 9923431.7409       5.4085  1549.7
0.0240     9779048.0855 9779042.6231       5.4624  1565.1
0.0250     9794791.8375 9794786.2447       5.5929  1602.5
0.0260     9964521.9863 9964516.2207       5.7656  1652.0
0.0270     10120509.2187 10120503.4537       5.7649  1651.8
0.0280     10064580.2271 10064574.4621       5.7650  1651.9
0.0290     10380734.6872 10380728.8977       5.7895  1658.9
0.0300     10356147.2835 10356141.4535       5.8301  1670.5
0.0310     10043231.2082 10043225.2768       5.9314  1699.5
0.0320     10145717.4516 10145711.3939       6.0577  1735.7
0.0330     10314874.3533 10314868.2536       6.0997  1747.8
0.0340     10214208.3021 10214202.2083       6.0938  1746.1
0.0350     10581151.0328 10581144.9470       6.0859  1743.8
0.0360     10546541.8285 10546535.7421       6.0864  1744.0
0.0370     10396152.1555 10396146.0648       6.0907  1745.2
0.0380     10374130.9850 10374124.8837       6.1013  1748.2
0.0390     10395605.6198 10395599.5107       6.1091  1750.4
0.0400     10641829.0639 10641822.9305       6.1334  1757.4
0.0410     10355495.5951 10355489.4312       6.1638  1766.1
0.0420     10436734.7754 10436728.5916       6.1838  1771.8
0.0430     10497111.4795 10497105.2885       6.1910  1773.9
0.0440     10703460.1726 10703453.9617       6.2109  1779.6
0.0450     10701718.8233 10701712.5890       6.2343  1786.3
0.0460     10615171.0060 10615164.7536       6.2524  1791.5
0.0470     10786647.0977 10786640.8232       6.2745  1797.9
0.0480     10788544.4277 10788538.1342       6.2935  1803.3
0.0490     10674041.9327 10674035.6232       6.3095  1807.9
0.0500     10521605.7105 10521599.3934       6.3170  1810.0
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       21227.0455   21222.8465       4.1990  1203.1
0.0010       21164.8416   21160.6427       4.1990  1203.1
0.0020       20662.0770   20657.8780       4.1990  1203.1
0.0030       20931.4485   20927.2495       4.1990  1203.1
0.0040       20871.2436   20867.0446       4.1990  1203.1
0.0050       20797.8109   20793.6119       4.1990  1203.1
0.0060       20683.0547   20678.8557       4.1990  1203.1
0.0070       21066.7013   21062.5023       4.1990  1203.1
0.0080       20811.8845   20807.6855       4.1990  1203.1
0.0090       20383.2853   20379.0863       4.1990  1203.1
0.0100       21338.0051   21333.8061       4.1990  1203.1
0.0110       20863.5117   20859.3127       4.1990  1203.1
0.0120       20877.6041   20873.4052       4.1990  1203.1
0.0130       21067.2040   21063.0050       4.1990  1203.1
0.0140       21168.9815   21164.7825       4.1990  1203.1
0.0150       21163.0721   21158.8731       4.1990  1203.1
0.0160       20381.8789   20377.6799       4.1990  1203.1
0.0170       20585.0058   20580.8068       4.1990  1203.1
0.0180       20788.5901   20784.3912       4.1990  1203.1
0.0190       20539.3679   20535.1689       4.1990  1203.1
0.0200       20246.4750   20242.2761       4.1990  1203.1
0.0210       20892.3310   20888.1321       4.1990  1203.1
0.0220       21009.1402   21004.9413       4.1990  1203.1
0.0230       20954.0833   20949.8843       4.1990  1203.1
0.0240       21362.9749   21358.7759       4.1990  1203.1
0.0250       20799.5071   20795.3081       4.1990  1203.1
0.0260       20614.3901   20610.1911       4.1990  1203.1
0.0270       20953.9973   20949.7984       4.1990  1203.1
0.0280       21327.9420   21323.7430       4.1990  1203.1
0.0290       21455.4361   21451.2371       4.1990  1203.1
0.0300       21254.7958   21250.5968       4.1990  1203.1
0.0310       21470.5281   21466.3291       4.1990  1203.1
0.0320       21238.9977   21234.7987       4.1990  1203.1
0.0330       21596.4088   21592.2098       4.1990  1203.1
0.0340       21496.9083   21492.7094       4.1990  1203.1
0.0350       21571.1507   21566.9517       4.1990  1203.1
0.0360       21609.8748   21605.6758       4.1990  1203.1
0.0370       21634.2889   21630.0899       4.1990  1203.1
0.0380       21620.9835   21616.7845       4.1990  1203.1
0.0390       21220.3549   21216.1559       4.1990  1203.1
0.0400       21412.5236   21408.3246       4.1990  1203.1
0.0410       21748.4767   21744.2777       4.1990  1203.1
0.0420       21928.7104   21924.5114       4.1990  1203.1
0.0430       22098.7267   22094.5277       4.1990  1203.1
